id,Name,Year,Kilometers_Driven,Location,Fuel_Type,Transmission,Engine,Power,Mileage,Seats,Owner_Type,New_Price,Price
62,Tata Safari Storme Explorer Edition,2016,87295,Delhi,Diesel,Manual,2179 CC,138.1 bhp,14.0 kmpl,7,First,,11.64
63,Mercedes-Benz E-Class 220 CDI,2013,71826,Ahmedabad,Diesel,Manual,2148 CC,null bhp,15.0 kmpl,5,Second,,27
64,Land Rover Range Rover HSE Dynamic,2019,37522,Kochi,Diesel,Automatic,2179 CC,187.7 bhp,12.7 kmpl,5,First,,90.11
65,Maruti Eeco Smiles 5 Seater AC,2019,22907,Coimbatore,Petrol,Manual,1196 CC,73 bhp,15.1 kmpl,5,First,,9.51
66,Maruti Alto 800 LXI,2018,31215,Jaipur,Petrol,Manual,796 CC,47.3 bhp,22.74 kmpl,5,First,,5.92
67,BMW 5 Series 2013-2017 520d Luxury Line,2016,41535,Jaipur,Diesel,Automatic,1995 CC,190 bhp,18.12 kmpl,5,Second,,47.78
68,Land Rover Discovery SE 3.0 TD6,2018,56656,Delhi,Diesel,Automatic,2993 CC,255 bhp,18.0 kmpl,7,First,1.13 Cr,75.34
69,Maruti Ritz VDI (ABS) BS IV,2017,79569,Hyderabad,Diesel,Manual,1248 CC,73.94 bhp,23.2 kmpl,5,First,,10.04
70,Hyundai Creta 1.4 CRDi S,2018,39864,Delhi,Diesel,Manual,1396 CC,88.7 bhp,21.38 kmpl,5,First,,19.71
71,Maruti Swift VDI BSIV,2017,23786,Bangalore,Diesel,Manual,1248 CC,null bhp,17.8 kmpl,5,First,,11.76
72,Volkswagen Vento Diesel Highline,2012,62435,Bangalore,Diesel,Manual,1598 CC,103.6 bhp,20.54 kmpl,5,First,,10.72
73,Hyundai Santro Xing GLS,2012,82653,Hyderabad,Petrol,Manual,1086 CC,62.1 bhp,17.92 kmpl,5,First,,4.5
74,Maruti Alto 800 VXI,2016,24240,Kolkata,Petrol,Manual,796 CC,47.3 bhp,22.74 kmpl,5,First,,5.2
75,Skoda Laura 1.9 TDI AT Ambiente,2015,48609,Kolkata,Diesel,Automatic,1896 CC,105 bhp,17.0 kmpl,5,First,,13.15
76,Chevrolet Sail Hatchback 1.2 LS,2015,9224,Kolkata,Petrol,Manual,1199 CC,82.5 bhp,18.2 kmpl,5,First,,7.03
77,Ford Ecosport 1.5 Ti VCT MT Titanium,2016,94020,Hyderabad,Petrol,Manual,1499 CC,110 bhp,15.8 kmpl,5,Second,,12.67
78,BMW X1 xDrive 20d xLine,2017,7644,Mumbai,Diesel,Automatic,1995 CC,190 bhp,20.68 kmpl,5,First,,58.03
79,Honda City i VTEC V,2018,30553,Mumbai,Petrol,Manual,1497 CC,117.3 bhp,17.8 kmpl,5,First,,14.47
80,Honda City i DTEC VX,2014,71083,Chennai,Diesel,Manual,1498 CC,98.6 bhp,25.1 kmpl,5,Second,,12.34
81,Maruti Wagon R AMT VXI,2019,70026,Jaipur,Petrol,Automatic,998 CC,67 bhp,20.51 kmpl,5,First,,7.5
82,BMW 5 Series 2010-2013 525i,2011,121612,Mumbai,Petrol,Automatic,2497 CC,215 bhp,10.8 kmpl,5,First,,14.14
83,Maruti Swift Dzire VDI,2018,38199,Kolkata,Diesel,Manual,1248 CC,74 bhp,23.4 kmpl,5,First,,8.11
84,Hyundai Santa Fe 4x4 AT,2011,71773,Mumbai,Diesel,Automatic,2199 CC,194.3 bhp,11.72 kmpl,7,Second,,14.35
85,Maruti Wagon R VXI,2016,49293,Kolkata,Petrol,Manual,998 CC,67.1 bhp,18.9 kmpl,5,First,,5.41
86,Toyota Etios Liva G,2011,43882,Kolkata,Petrol,Manual,1197 CC,null bhp,18.3 kmpl,5,First,,4.27
87,Mercedes-Benz E-Class E250 CDI Avantgrade,2016,34479,Bangalore,Diesel,Automatic,2143 CC,201.1 bhp,13.0 kmpl,5,First,,67.87
88,Volkswagen Vento Petrol Highline,2012,61836,Pune,Petrol,Manual,1598 CC,103.6 bhp,15.04 kmpl,5,First,,8.15
89,Ford Endeavour 4x2 XLT Limited Edition,2009,96304,Pune,Diesel,Manual,2499 CC,143 bhp,10.9 kmpl,7,Fourth & Above,,6.12
90,Volkswagen Jetta 2007-2011 2.0 TDI Trendline,2014,54523,Chennai,Diesel,Manual,1896 CC,105 bhp,15.0 kmpl,5,First,,18.81
91,Honda City 1.5 GXI,2008,104675,Pune,Petrol,Manual,,,0.0 kmpl,,Second,,2.91
92,Hyundai Elite i20 Petrol Asta,2017,34200,Kochi,Petrol,Manual,1197 CC,81.86 bhp,18.6 kmpl,5,First,,12.94
93,Tata Indigo LS,2009,176076,Pune,Diesel,Manual,1405 CC,70 bhp,17.0 kmpl,5,First,,1.9
94,BMW 3 Series 320d Luxury Line,2017,55448,Kochi,Diesel,Automatic,1995 CC,184 bhp,18.88 kmpl,5,First,,54.92
95,Toyota Qualis RS E2,2007,237406,Pune,Diesel,Manual,2446 CC,null bhp,0.0 kmpl,10,Second,,7.35
96,Toyota Etios G,2013,27636,Coimbatore,Petrol,Manual,1496 CC,88.73 bhp,17.6 kmpl,5,First,,9.85
97,Volkswagen Vento Diesel Highline,2015,72088,Bangalore,Diesel,Manual,1598 CC,103.6 bhp,20.54 kmpl,5,First,,8.94
98,Hyundai Creta 1.6 SX,2018,75940,Delhi,Petrol,Manual,1591 CC,121.3 bhp,15.8 kmpl,5,First,14.23 Lakh,19.59
99,Maruti Swift VDI,2018,91610,Coimbatore,Diesel,Manual,1248 CC,74 bhp,22.9 kmpl,5,First,,11.23
100,Hyundai Santro Xing GLS,2007,68416,Hyderabad,Petrol,Manual,1086 CC,62.1 bhp,17.92 kmpl,5,Second,,3.87
101,Nissan Micra Diesel XV,2015,38294,Kolkata,Diesel,Manual,1461 CC,63.1 bhp,23.08 kmpl,5,First,,5.84
102,Ford Figo Petrol ZXI,2011,103132,Bangalore,Petrol,Manual,1196 CC,70 bhp,15.6 kmpl,5,First,,4.5
103,Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop,2020,13169,Hyderabad,Diesel,Automatic,2477 CC,175.56 bhp,13.5 kmpl,7,First,33.91 Lakh,52.93
104,Hyundai i20 Asta,2009,62761,Bangalore,Petrol,Manual,1197 CC,80 bhp,17.0 kmpl,5,Second,,8.57
105,Mahindra Scorpio 2.6 CRDe,2007,54657,Bangalore,Diesel,Manual,2179 CC,120 bhp,10.5 kmpl,8,First,,7.83
106,Hyundai i20 1.2 Sportz,2018,19612,Kolkata,Petrol,Manual,1197 CC,80 bhp,17.0 kmpl,5,First,,10.8
107,Hyundai Accent GLE,2008,107817,Hyderabad,Petrol,Manual,1495 CC,94 bhp,13.2 kmpl,5,First,,1.21
108,Tata Manza Club Class Quadrajet90 LS,2015,47781,Ahmedabad,Diesel,Manual,1248 CC,88.8 bhp,21.02 kmpl,5,First,,6
109,Volkswagen Polo 1.5 TDI Comfortline,2019,62069,Jaipur,Diesel,Manual,1498 CC,88 bhp,20.14 kmpl,5,First,9.56 Lakh,9.62
110,Mercedes-Benz New C-Class C 200 CGI Elegance,2012,65062,Mumbai,Petrol,Automatic,1796 CC,186 bhp,11.74 kmpl,5,First,,25.19
111,Chevrolet Spark 1.0 LS,2018,39598,Kochi,Petrol,Manual,995 CC,62.1 bhp,16.2 kmpl,5,First,,6.7
112,Maruti Zen Estilo VXI BSIII,2009,69185,Delhi,Petrol,Manual,998 CC,67.1 bhp,18.2 kmpl,5,First,,2.31
113,Maruti Swift Dzire VXI,2014,70720,Bangalore,Petrol,Manual,1197 CC,85.8 bhp,19.1 kmpl,5,First,,9.71
114,Toyota Corolla Altis 2008-2013 1.8 VL AT,2012,81000,Pune,Petrol,Automatic,1794 CC,138.1 bhp,14.53 kmpl,5,First,,12.64
115,Toyota Fortuner 4x2 AT,2018,98015,Jaipur,Diesel,Automatic,2982 CC,168.5 bhp,12.55 kmpl,7,First,,38
116,Mahindra Ssangyong Rexton RX7,2016,60542,Delhi,Diesel,Automatic,2696 CC,184 bhp,11.18 kmpl,7,First,,21.53
117,Hyundai EON Era Plus,2014,55846,Kolkata,Petrol,Manual,814 CC,55.2 bhp,21.1 kmpl,5,First,,4.24
118,Honda Amaze S i-Dtech,2015,94583,Delhi,Diesel,Manual,1498 CC,98.6 bhp,25.8 kmpl,5,First,,7.45
119,Mahindra XUV500 AT W10 FWD,2018,44703,Mumbai,Diesel,Automatic,2179 CC,140 bhp,16.0 kmpl,7,First,,27.9
120,Maruti Alto 800 2016-2019 LXI Optional,2015,60587,Chennai,Petrol,Manual,796 CC,47.3 bhp,24.7 kmpl,5,First,,5.17
121,Audi TT 2.0 TFSI,2017,12226,Delhi,Petrol,Automatic,1984 CC,207.8 bhp,9.9 kmpl,2,First,,60.78
122,Skoda Laura Classic 1.8 TSI,2010,76586,Pune,Petrol,Manual,1798 CC,null bhp,17.5 kmpl,5,First,,5.93
123,Audi Q7 3.0 TDI Quattro Premium Plus,2017,50604,Coimbatore,Diesel,Automatic,2967 CC,241.4 bhp,12.07 kmpl,7,First,,67.93
124,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2011,44647,Mumbai,Diesel,Automatic,2143 CC,170 bhp,19.27 kmpl,5,First,,18.35
125,Hyundai Verna Transform SX VGT CRDi,2013,69332,Ahmedabad,Diesel,Manual,1493 CC,110 bhp,16.2 kmpl,5,First,,7.1
126,Mercedes-Benz E-Class 2015-2017 E 200 CGI,2015,67758,Mumbai,Petrol,Automatic,1991 CC,184 bhp,12.0 kmpl,5,First,,36.78
127,Honda Civic 2006-2010 1.8 (E) MT,2010,83932,Hyderabad,Petrol,Manual,1799 CC,130 bhp,13.5 kmpl,5,First,,4.85
128,Ford EcoSport 1.5 TDCi Titanium,2017,30807,Kochi,Diesel,Manual,1498 CC,98.59 bhp,22.77 kmpl,5,First,,16.82
129,Land Rover Freelander 2 SE,2015,61243,Delhi,Diesel,Automatic,2179 CC,147.51 bhp,12.39 kmpl,5,Second,,30.25
130,Honda City 1.5 V MT,2012,68921,Coimbatore,Petrol,Manual,1497 CC,118 bhp,17.0 kmpl,5,First,,10.97
131,Maruti Ritz VDi,2015,80656,Coimbatore,Diesel,Manual,1248 CC,73.9 bhp,21.1 kmpl,5,First,,9.79
132,Maruti Swift VXi BSIV,2017,20123,Kochi,Petrol,Manual,1197 CC,85 bhp,16.1 kmpl,5,First,,11.31
133,Hyundai Xcent 1.1 CRDi S,2019,90081,Jaipur,Diesel,Manual,1120 CC,71 bhp,24.4 kmpl,5,First,,7.8
134,Mercedes-Benz GLE 350d,2018,31090,Coimbatore,Diesel,Automatic,2987 CC,254.79 bhp,11.57 kmpl,5,First,95.13 Lakh,120.71
135,BMW 5 Series 2003-2012 520d,2014,100866,Pune,Diesel,Automatic,1995 CC,177 bhp,18.48 kmpl,5,First,,31.9
136,Hyundai Santro Xing GLS,2009,138065,Chennai,Petrol,Manual,1086 CC,62.1 bhp,17.92 kmpl,5,Second,,3.19
137,Hyundai Creta 1.6 SX Plus Diesel,2020,34464,Kochi,Diesel,Manual,1582 CC,126.2 bhp,19.67 kmpl,5,First,,26.54
138,Maruti Ertiga VDI,2019,13874,Mumbai,Diesel,Manual,1248 CC,88.50 bhp,25.47 kmpl,7,First,11.66 Lakh,19.33
139,Nissan Micra Diesel XV,2014,88027,Chennai,Diesel,Manual,1461 CC,63.1 bhp,23.08 kmpl,5,First,,5.3
140,Ford Figo Petrol Titanium,2010,62799,Delhi,Petrol,Manual,1196 CC,70 bhp,15.6 kmpl,5,Second,,4.84
141,Nissan Evalia 2013 XL,2017,164580,Hyderabad,Diesel,Manual,1461 CC,84.8 bhp,19.3 kmpl,7,First,,7.64
142,Maruti Wagon R VXI,2017,71928,Coimbatore,Petrol,Manual,998 CC,67.04 bhp,22.5 kmpl,5,First,5.72 Lakh,8.55
143,Volkswagen Vento 1.6 Highline,2018,44623,Mumbai,Petrol,Manual,1598 CC,103.2 bhp,15.04 kmpl,5,First,,8.99
144,BMW 6 Series 640d Coupe,2014,27086,Mumbai,Diesel,Automatic,2993 CC,313 bhp,9.52 kmpl,4,First,,84.22
145,Toyota Innova 2.5 G4 Diesel 7-seater,2010,189082,Hyderabad,Diesel,Manual,2494 CC,102 bhp,12.8 kmpl,7,Second,,10.61
146,Honda City 1.5 V MT,2011,38723,Kolkata,Petrol,Manual,1497 CC,118 bhp,17.0 kmpl,5,First,,6.5
147,Honda Brio VX AT,2017,36079,Mumbai,Petrol,Automatic,1198 CC,86.8 bhp,16.5 kmpl,5,First,,8.21
148,Ford Ecosport 1.5 Ti VCT MT Titanium,2013,60961,Bangalore,Petrol,Manual,1499 CC,110 bhp,15.8 kmpl,5,First,,16.07
149,Hyundai Verna CRDi 1.4 E,2010,124832,Chennai,Diesel,Manual,1396 CC,88.76 bhp,24.0 kmpl,5,Second,10.73 Lakh,3.9
150,Audi A6 2011-2015 35 TFSI Technology,2017,58257,Mumbai,Petrol,Automatic,1984 CC,177.01 bhp,13.53 kmpl,5,First,,45.82
151,Ford Ecosport 1.5 DV5 MT Titanium,2018,66505,Hyderabad,Diesel,Manual,1498 CC,89.84 bhp,22.7 kmpl,5,First,,14.22
152,Maruti Wagon R LXI BSIII,2007,89233,Hyderabad,Petrol,Manual,1061 CC,64 bhp,14.0 kmpl,5,First,,4.44
153,Ford Figo 2015-2019 1.5D Titanium Plus MT,2018,45927,Hyderabad,Diesel,Manual,1498 CC,99 bhp,25.83 kmpl,5,First,,10.61
154,Ford Fiesta 1.4 Duratec ZXI,2008,133812,Jaipur,Petrol,Manual,1388 CC,68 bhp,16.6 kmpl,5,Third,,3.18
155,Maruti Baleno Alpha 1.2,2020,27892,Delhi,Petrol,Manual,1197 CC,83.1 bhp,21.4 kmpl,5,First,,12.54
156,Hyundai i10 Sportz 1.2,2015,26603,Kolkata,Petrol,Manual,1197 CC,78.9 bhp,20.36 kmpl,5,First,,6.66
157,Honda Amaze E i-Dtech,2018,67633,Pune,Diesel,Manual,1498 CC,98.6 bhp,25.8 kmpl,5,First,,12.26
158,Audi A6 2011-2015 2.0 TDI,2014,67396,Hyderabad,Diesel,Automatic,1968 CC,174.33 bhp,17.68 kmpl,5,First,,48.7
159,Maruti Swift Dzire ZXi,2018,61936,Delhi,Petrol,Manual,1298 CC,85.8 bhp,17.5 kmpl,5,First,,11.06
160,Maruti Wagon R LX BSIII,2008,65157,Delhi,Petrol,Manual,1061 CC,64 bhp,17.3 kmpl,5,Second,,1.54
161,Ford Fiesta 1.4 Duratec EXI Limited Edition,2013,98526,Chennai,Petrol,Manual,1388 CC,68 bhp,16.6 kmpl,5,First,,4.92
162,Mercedes-Benz New C-Class 220 CDI MT,2009,51641,Coimbatore,Diesel,Manual,2148 CC,170 bhp,15.8 kmpl,5,First,,21.24
163,Tata Zest Quadrajet 1.3 75PS XM,2019,67751,Pune,Diesel,Manual,1248 CC,74 bhp,22.95 kmpl,5,First,8.93 Lakh,10.05
164,Maruti Swift Dzire VDI,2016,64897,Ahmedabad,Diesel,Manual,1248 CC,74 bhp,26.59 kmpl,5,First,,11.85
165,Mercedes-Benz New C-Class C 220 CDI Celebration Edition,2020,33679,Kolkata,Diesel,Automatic,2143 CC,167.62 bhp,11.78 kmpl,5,First,,48.23
166,Mahindra Xylo E4,2013,74488,Mumbai,Diesel,Manual,2498 CC,112 bhp,14.0 kmpl,7,Second,,7.5
167,Toyota Innova 2.5 VX (Diesel) 7 Seater,2017,102732,Hyderabad,Diesel,Manual,2494 CC,100.6 bhp,12.99 kmpl,7,Second,,27.78
168,BMW 3 Series 2005-2011 325i Sedan,2012,70918,Coimbatore,Petrol,Automatic,2497 CC,215 bhp,10.9 kmpl,5,Second,,22.76
169,Volkswagen Vento 2013-2015 1.6 Comfortline,2017,18742,Kolkata,Petrol,Manual,1598 CC,103.2 bhp,15.04 kmpl,5,First,,8.46
170,Ford EcoSport 1.5 Ti VCT MT Signature,2018,15209,Chennai,Petrol,Manual,1499 CC,110.4 bhp,18.88 kmpl,5,First,,18.15
171,Hyundai i10 Sportz 1.2,2014,57096,Mumbai,Petrol,Manual,1197 CC,78.9 bhp,20.36 kmpl,5,First,,4.01
172,Honda Civic 2006-2010 1.8 S MT,2009,74911,Ahmedabad,Petrol,Manual,1799 CC,130 bhp,13.5 kmpl,5,First,,8.42
173,Honda City 1.5 V MT Sunroof,2015,54680,Mumbai,Petrol,Manual,1497 CC,116.3 bhp,16.8 kmpl,5,First,,10.24
174,Renault Duster 85PS Diesel RxL,2014,41879,Mumbai,Diesel,Manual,1461 CC,83.8 bhp,19.87 kmpl,5,First,,10.89
175,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2016,64825,Ahmedabad,Diesel,Manual,2494 CC,100 bhp,12.99 kmpl,7,First,,15.48
176,Honda Amaze S i-Dtech,2018,62491,Kochi,Diesel,Manual,1498 CC,98.6 bhp,25.8 kmpl,5,First,,11.13
177,Maruti Vitara Brezza ZDi Plus AMT Dual Tone,2021,3325,Chennai,Diesel,Automatic,1248 CC,88.5 bhp,24.3 kmpl,5,First,12.88 Lakh,23.69
178,Maruti Wagon R LXI BS IV,2011,100150,Pune,Petrol,Manual,998 CC,67.1 bhp,18.9 kmpl,5,First,,4.88
179,Skoda Rapid 1.6 TDI Elegance,2015,73306,Hyderabad,Diesel,Manual,1598 CC,103.5 bhp,20.5 kmpl,5,First,,10.99
180,Land Rover Range Rover HSE Dynamic,2019,48354,Coimbatore,Diesel,Automatic,2179 CC,187.7 bhp,12.7 kmpl,5,First,,95.84
181,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2021,28592,Coimbatore,Diesel,Automatic,2143 CC,167.62 bhp,19.27 kmpl,5,First,,79.61
182,Mahindra XUV500 W8 4WD,2019,14229,Kolkata,Diesel,Manual,2179 CC,140 bhp,16.0 kmpl,7,First,,29.58
183,Volkswagen Polo Diesel Highline 1.2L,2019,28949,Chennai,Diesel,Manual,1199 CC,73.9 bhp,22.07 kmpl,5,First,,14.36
184,Volkswagen CrossPolo 1.5 TDI,2017,83254,Hyderabad,Diesel,Manual,1498 CC,88.73 bhp,20.14 kmpl,5,First,,11.57
185,Maruti Ertiga VDI,2019,64096,Kochi,Diesel,Manual,1248 CC,88.76 bhp,20.77 kmpl,7,First,,13.48
186,Nissan Sunny 2011-2014 Diesel XL,2014,96863,Hyderabad,Diesel,Manual,1461 CC,84.8 bhp,21.64 kmpl,5,First,,9.41
187,Fiat Siena 1.2 ELX,2003,72163,Jaipur,Petrol,Manual,1242 CC,null bhp,0.0 kmpl,5,Third,,1.03
188,Mercedes-Benz New C-Class C 250 CDI Avantgarde,2012,83264,Coimbatore,Diesel,Automatic,2143 CC,201.15 bhp,19.71 kmpl,5,Second,,31.47
189,Hyundai i10 Magna 1.2,2014,85497,Jaipur,Petrol,Manual,1197 CC,78.9 bhp,20.36 kmpl,5,Second,,4.5
